11:58:10.383 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.SpringBootDemoApplicationTests], using SpringBootContextLoader
11:58:10.406 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.SpringBootDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
11:58:10.407 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.SpringBootDemoApplicationTests]: SpringBootDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
11:58:10.779 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.SpringBootDemoApplication for test class com.example.demo.SpringBootDemoApplicationTests
11:58:10.926 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
11:58:10.949 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@72cde7cc, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5fd4f8f5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@696da30b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4e7912d8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@53976f5c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2bfc268b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2f8dad04, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@29e495ff, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@41e1e210, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@be35cd9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4944252c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@44821a96]
11:58:11.338 [main] INFO  c.e.d.SpringBootDemoApplicationTests - Starting SpringBootDemoApplicationTests on W7-201703281209 with PID 31372 (started by Administrator in E:\workSpace\SpringBootDemo)
11:58:11.338 [main] INFO  c.e.d.SpringBootDemoApplicationTests - No active profile set, falling back to default profiles: default
11:58:11.387 [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@29d80d2b: startup date [Fri Oct 26 11:58:11 CST 2018]; root of context hierarchy
11:58:13.523 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
11:58:13.776 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@29d80d2b: startup date [Fri Oct 26 11:58:11 CST 2018]; root of context hierarchy
11:58:13.839 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/find],methods=[GET]}" onto public java.lang.String com.example.demo.HelloWorldController.find()
